sweep,key,value,signals,trades,cagr,mdd,ratio,final,is_r,oos_r
선행 상승률,TREND_GAIN_PCT,0.2,2254,752,0.28340208560517577,-0.3420418301149455,0.8285597276506694,1397929915.1634545,0.6340419660639816,1.5169452870087592
선행 상승률,TREND_GAIN_PCT,0.3,1892,710,0.30275314055762914,-0.34006303982994346,0.8902853444732718,1637530518.1973548,0.6602177433877059,1.4350678481087293
선행 상승률,TREND_GAIN_PCT,0.4,1469,621,0.3673139637619325,-0.3685612934013571,0.9966156792323106,2730497471.7114244,1.4345310092555366,1.2200510341439499
선행 상승률,TREND_GAIN_PCT,0.5,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
선행 상승률,TREND_GAIN_PCT,0.6,873,470,0.3372254979347913,-0.31007405446973757,1.0875643836485636,2158188582.3590193,1.3835873837114183,1.1725759374950209
선행 상승률,TREND_GAIN_PCT,0.8,566,376,0.3145225418660167,-0.2762422396867419,1.1385751224095366,1800852530.4716926,1.334063315488594,1.1016469352861096
선행 상승률,TREND_GAIN_PCT,1.0,377,289,0.24858765655693804,-0.22623516605971417,1.0988020160018979,1045274600.6050444,1.303248641699087,1.0574925646676456
베이스 최소 길이,NORMAL_BASE_MIN,5,1486,631,0.23655909851502255,-0.3321558070062183,0.7121931741828434,943602076.2611897,0.6335638029743101,0.996976598359892
베이스 최소 길이,NORMAL_BASE_MIN,10,1239,569,0.30991745570403584,-0.30764648442723985,1.0073817559821103,1735269930.5617306,1.1077019855644223,1.2602374989352418
베이스 최소 길이,NORMAL_BASE_MIN,15,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
베이스 최소 길이,NORMAL_BASE_MIN,20,1039,535,0.26601712507689035,-0.31178017858053964,0.8532201318505959,1210243075.8970969,1.1371166086601479,1.1238859021244099
베이스 최소 길이,NORMAL_BASE_MIN,25,994,518,0.29086478315870745,-0.29519293670105773,0.985337882434723,1486287774.6718702,1.205611695476579,1.2440028410288138
베이스 최소 길이,NORMAL_BASE_MIN,30,958,504,0.2754915999000238,-0.29521067065654905,0.9332033943330369,1309487117.6214855,1.0375882611363156,1.2094483999869616
베이스 최소 길이,NORMAL_BASE_MIN,40,895,478,0.2404844806803752,-0.32006440925624136,0.7513627686352499,975751455.62445,0.7736668022270986,0.969760262182559
추세 측정 기간,TREND_LOOKBACK,60,415,294,0.22857091209378,-0.27890004892622744,0.8195441806976516,881121263.66059,1.0316308452941667,0.8532142688665552
추세 측정 기간,TREND_LOOKBACK,90,711,445,0.30856211883371687,-0.3020770120864622,1.0214683888140368,1716384337.2674026,1.4469053835500267,1.032662982054413
추세 측정 기간,TREND_LOOKBACK,120,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
추세 측정 기간,TREND_LOOKBACK,180,1629,641,0.318492679623803,-0.3123982805400016,1.0195084271055104,1859185070.0045373,0.68562063128342,1.7547436614107994
추세 측정 기간,TREND_LOOKBACK,250,1838,683,0.27648708508308495,-0.31826329265218967,0.8687369591982467,1320331145.6714156,0.4305775930467313,1.7698810473686215
베이스 관찰 기간,BASE_WINDOW,30,1753,650,0.2737072482523417,-0.40415238974084466,0.6772377330933302,1290251411.840075,1.2063897849881797,0.7646579006366615
베이스 관찰 기간,BASE_WINDOW,40,1551,629,0.24133496974086754,-0.3808717948060042,0.6336383345576712,982846441.351871,0.5717073783229664,0.7750788982866086
베이스 관찰 기간,BASE_WINDOW,60,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
베이스 관찰 기간,BASE_WINDOW,80,872,483,0.1860042711267922,-0.33853669838377465,0.5494360641395887,606951609.055852,0.6572917534492612,0.7014978753947744
베이스 관찰 기간,BASE_WINDOW,120,880,529,0.0673686883907958,-0.5149528946524611,0.1308249532925969,199208407.5616383,0.6232101503381466,-0.1243440764842346
조정 중 거래량감소,VOL_DRYUP,True,1112,549,0.3327105323239852,-0.3027471986084833,1.0989714648169242,2082393196.2512481,1.2018345958169565,1.2846365180894006
조정 중 거래량감소,VOL_DRYUP,False,4349,992,0.0352832666940508,-0.7270405251327852,0.048529986258478146,144274096.95405367,0.2963433420292882,-0.16508617404291312
