code,name,entry_date,exit_date,entry_px,qty,cost,proceeds,pnl,ret,reason,partial_tp,hold_days,entry_r,regime_r,streak_r,capped,success
001450,현대해상,2016-10-04,2016-10-06,37300.0,319,11912385.289805,11386532.679389998,-525852.6104150023,-0.04414335144658591,MA20_EXIT,False,2,3.0,2.0,1,False,False
005930,삼성전자,2016-10-06,2016-10-11,33820.0,350,11850614.325550001,10857935.617578002,-992678.7079719994,-0.08376601252069926,STOP_INTRA,False,5,3.0,2.0,1,False,False
000660,SK하이닉스,2016-09-19,2016-10-20,39200.0,307,12048241.36516,12320321.6831625,272080.31800249964,0.022582575311719484,MA20_EXIT,False,31,3.0,2.0,1,False,False
047050,포스코인터내셔널,2016-10-20,2016-10-27,27200.0,430,11709452.154399998,10728598.038624,-980854.1157759987,-0.08376601252069922,STOP_INTRA,False,7,3.0,2.0,1,False,False
009540,HD한국조선해양,2016-10-06,2016-10-31,132628.0,89,11817468.246383801,11607857.27419905,-209610.97218475118,-0.017737383999224463,MA20_EXIT,False,25,3.0,2.0,1,False,False
105560,KB금융,2016-10-18,2016-11-03,41200.0,285,11755505.061300002,11650552.03575,-104953.02555000223,-0.008927989482605508,MA20_EXIT,False,16,3.0,2.0,1,False,False
032640,LG유플러스,2016-10-24,2016-11-10,12150.0,970,11799055.092825,11412256.6197,-386798.47312499955,-0.03278215671356697,MA20_EXIT,False,17,3.0,2.0,1,False,False
086790,하나금융지주,2016-10-24,2016-11-18,32900.0,358,11791746.696729999,11707782.81768,-83963.87904999964,-0.007120563323607001,MA20_EXIT,False,25,3.0,2.0,1,False,False
001740,SK네트웍스,2016-12-08,2016-12-15,7500.0,1013,7606238.264625,6969094.014915001,-637144.2497099992,-0.0837660125206992,STOP_INTRA,False,7,2.0,1.0,1,False,False
005490,POSCO홀딩스,2016-12-08,2016-12-20,279000.0,27,7541664.079949999,6945463.8837,-596200.1962499991,-0.07905419678331149,MA20_EXIT,False,12,2.0,1.0,1,False,False
024110,기업은행,2016-12-08,2016-12-22,13850.0,549,7612395.3380475,7307543.299342499,-304852.03870500065,-0.040046795412912964,MA20_EXIT,False,14,2.0,1.0,1,False,False
055550,신한지주,2016-12-08,2016-12-29,47300.0,160,7576704.3352,7370208.0144,-206496.32079999987,-0.0272541083384573,MA20_EXIT,False,21,2.0,1.0,1,False,False
047050,포스코인터내셔널,2016-12-12,2016-12-29,28800.0,263,7583111.696159999,7263623.160944999,-319488.5352149997,-0.04213158766694483,MA20_EXIT,False,17,2.0,1.0,1,False,False
105560,KB금융,2016-12-08,2017-01-02,44400.0,171,7601132.39886,7297223.811659999,-303908.5872000009,-0.03998201468580923,MA20_EXIT,False,25,2.0,1.0,1,False,False
036460,한국가스공사,2016-12-12,2017-01-04,48650.0,155,7549422.9936125,7317613.5240375,-231809.469575,-0.030705587668240598,MA20_EXIT,False,23,2.0,1.0,1,False,False
011780,금호석유화학,2016-12-15,2017-01-19,80100.0,139,11146705.655085,12306811.629239999,1160105.9741549995,0.10407612886286025,BEAR_EXIT,False,35,3.0,2.0,1,False,False
161390,한국타이어앤테크놀로지,2017-01-10,2017-01-19,63300.0,177,11216986.395615,10676930.806575,-540055.58904,-0.04814622840686703,BEAR_EXIT,False,9,3.0,2.0,1,False,False
001230,동국홀딩스,2017-01-11,2017-01-25,2469.0,4616,11410012.149135599,10454240.928589778,-955771.2205458209,-0.08376601252069905,STOP_INTRA,False,14,3.0,2.0,1,False,False
